"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","4,000","4,050","4,060","3,970","90.18M","-0.99%"
"03/25/2026","4,040","4,050","4,090","3,980","247.99M","-7.97%"
"03/17/2026","4,390","4,330","4,390","4,320","209.82M","1.62%"
"03/16/2026","4,320","4,250","4,340","4,230","126.14M","1.89%"
"03/13/2026","4,240","4,290","4,310","4,220","99.44M","-0.93%"
"03/12/2026","4,280","4,300","4,350","4,270","87.01M","-0.23%"
"03/11/2026","4,290","4,300","4,330","4,280","54.80M","0.70%"
"03/10/2026","4,260","4,350","4,370","4,250","66.62M","-0.70%"
"03/09/2026","4,290","4,150","4,330","4,130","102.38M","0.47%"
"03/06/2026","4,270","4,270","4,300","4,210","47.79M","-0.23%"
"03/05/2026","4,280","4,220","4,320","4,200","52.18M","3.13%"
"03/04/2026","4,150","4,280","4,290","4,120","101.73M","-3.49%"
"03/03/2026","4,300","4,310","4,360","4,300","34.41M","0.00%"
"03/02/2026","4,300","4,350","4,380","4,300","77.49M","-2.27%"
"02/27/2026","4,400","4,460","4,460","4,400","83.01M","-1.35%"
"02/26/2026","4,460","4,500","4,510","4,420","53.38M","-0.89%"
"02/25/2026","4,500","4,470","4,520","4,440","53.01M","1.12%"
"02/24/2026","4,450","4,480","4,490","4,430","58.15M","-1.11%"
"02/23/2026","4,500","4,470","4,510","4,460","35.30M","0.67%"
"02/20/2026","4,470","4,450","4,500","4,420","48.07M","0.45%"
"02/19/2026","4,450","4,520","4,550","4,450","54.01M","-0.89%"
"02/18/2026","4,490","4,510","4,540","4,480","38.80M","0.22%"
"02/13/2026","4,480","4,510","4,510","4,470","25.12M","-0.67%"
"02/12/2026","4,510","4,480","4,510","4,470","27.57M","0.67%"
"02/11/2026","4,480","4,500","4,510","4,460","54.08M","-0.67%"
"02/10/2026","4,510","4,520","4,540","4,480","38.28M","-0.22%"
"02/09/2026","4,520","4,570","4,570","4,450","51.51M","-0.22%"
"02/06/2026","4,530","4,510","4,560","4,470","59.93M","-0.88%"
"02/05/2026","4,570","4,630","4,730","4,570","94.55M","-1.30%"
"02/04/2026","4,630","4,590","4,650","4,570","92.92M","0.87%"
"02/03/2026","4,590","4,570","4,630","4,380","82.65M","2.00%"
"02/02/2026","4,500","4,570","4,580","4,370","85.79M","0.22%"
"01/30/2026","4,490","4,450","4,590","4,430","167.02M","1.58%"
"01/29/2026","4,420","4,310","4,460","3,990","242.95M","-0.45%"
"01/28/2026","4,440","4,380","4,550","4,270","114.15M","-1.33%"
"01/27/2026","4,500","4,530","4,540","4,470","40.66M","-0.66%"
"01/26/2026","4,530","4,590","4,600","4,520","79.14M","-1.52%"
"01/23/2026","4,600","4,590","4,610","4,520","37.56M","0.22%"
"01/22/2026","4,590","4,600","4,670","4,590","60.26M","0.00%"
"01/21/2026","4,590","4,570","4,590","4,500","54.28M","0.44%"
"01/20/2026","4,570","4,620","4,640","4,560","67.79M","-1.08%"
"01/19/2026","4,620","4,540","4,720","4,510","123.40M","1.76%"
"01/15/2026","4,540","4,380","4,600","4,370","132.48M","4.13%"
"01/14/2026","4,360","4,340","4,390","4,310","41.78M","0.46%"
"01/13/2026","4,340","4,250","4,340","4,240","76.02M","2.84%"
"01/12/2026","4,220","4,190","4,250","4,190","24.97M","0.96%"
"01/09/2026","4,180","4,230","4,240","4,180","35.41M","-0.71%"
"01/08/2026","4,210","4,200","4,270","4,200","40.06M","0.24%"
"01/07/2026","4,200","4,200","4,240","4,200","39.30M","-0.94%"
"01/06/2026","4,240","4,230","4,260","4,200","53.91M","0.24%"
"01/05/2026","4,230","4,260","4,270","4,210","48.78M","-0.70%"
"01/02/2026","4,260","4,340","4,350","4,260","32.69M","-2.52%"
"12/30/2025","4,370","4,260","4,380","4,250","44.23M","2.58%"
"12/29/2025","4,260","4,270","4,320","4,260","24.49M","-0.23%"
"12/24/2025","4,270","4,260","4,330","4,260","18.16M","-0.47%"
"12/23/2025","4,290","4,290","4,320","4,250","26.80M","-0.92%"
"12/22/2025","4,330","4,330","4,360","4,290","28.11M","-0.23%"
"12/19/2025","4,340","4,380","4,410","4,320","47.29M","-0.91%"
"12/18/2025","4,380","4,360","4,440","4,360","45.69M","0.23%"
"12/17/2025","4,370","4,400","4,420","4,340","27.65M","-0.68%"
"12/16/2025","4,400","4,440","4,460","4,330","36.29M","-0.90%"
"12/15/2025","4,440","4,270","4,450","4,230","57.53M","4.72%"
"12/12/2025","4,240","4,290","4,290","4,170","23.24M","0.24%"
"12/11/2025","4,230","4,350","4,390","4,190","43.39M","-1.86%"
"12/10/2025","4,310","4,350","4,350","4,270","19.91M","-0.23%"
"12/09/2025","4,320","4,310","4,330","4,260","34.46M","0.23%"
"12/08/2025","4,310","4,360","4,360","4,290","28.22M","0.47%"
"12/05/2025","4,290","4,330","4,360","4,290","28.88M","-0.46%"
"12/04/2025","4,310","4,260","4,320","4,240","23.54M","1.17%"
"12/03/2025","4,260","4,270","4,290","4,240","28.26M","-0.23%"
"12/02/2025","4,270","4,340","4,360","4,250","39.09M","-0.93%"
"12/01/2025","4,310","4,240","4,350","4,240","19.34M","1.17%"
"11/28/2025","4,260","4,330","4,350","4,260","40.76M","-2.07%"
"11/27/2025","4,350","4,420","4,420","4,300","33.62M","-1.36%"
"11/26/2025","4,410","4,420","4,420","4,370","31.69M","-0.23%"
"11/25/2025","4,420","4,420","4,450","4,370","36.14M","0.68%"
"11/24/2025","4,390","4,400","4,440","4,350","76.65M","0.00%"
"11/21/2025","4,390","4,450","4,450","4,370","45.57M","-1.57%"
"11/20/2025","4,460","4,470","4,560","4,450","54.71M","0.00%"
"11/19/2025","4,460","4,470","4,470","4,410","34.30M","0.00%"
"11/18/2025","4,460","4,400","4,470","4,400","36.96M","1.59%"
"11/17/2025","4,390","4,390","4,440","4,380","28.45M","0.00%"
"11/14/2025","4,390","4,410","4,450","4,370","34.60M","-0.68%"
"11/13/2025","4,420","4,470","4,480","4,420","20.21M","-0.90%"
"11/12/2025","4,460","4,410","4,480","4,400","35.39M","0.90%"
"11/11/2025","4,420","4,450","4,450","4,370","48.79M","0.00%"
"11/10/2025","4,420","4,520","4,520","4,410","45.52M","-1.78%"
"11/07/2025","4,500","4,440","4,500","4,440","36.15M","1.35%"
"11/06/2025","4,440","4,450","4,480","4,430","31.81M","-0.45%"
"11/05/2025","4,460","4,400","4,480","4,380","43.45M","0.22%"
"11/04/2025","4,450","4,430","4,510","4,430","73.34M","0.45%"
"11/03/2025","4,430","4,390","4,460","4,380","40.46M","1.14%"
"10/31/2025","4,380","4,400","4,450","4,350","69.14M","-0.68%"
"10/30/2025","4,410","4,420","4,530","4,370","91.04M","-0.68%"
"10/29/2025","4,440","4,380","4,440","4,320","71.74M","1.60%"
"10/28/2025","4,370","4,390","4,440","4,340","58.46M","0.00%"
"10/27/2025","4,370","4,440","4,450","4,270","102.36M","0.00%"
"10/24/2025","4,370","4,220","4,440","4,210","177.60M","3.07%"
"10/23/2025","4,240","4,030","4,250","4,020","130.64M","5.21%"
"10/22/2025","4,030","4,070","4,150","4,000","81.23M","-0.49%"
"10/21/2025","4,050","4,110","4,130","4,030","88.06M","0.25%"
"10/20/2025","4,040","3,870","4,110","3,860","146.20M","6.32%"
"10/17/2025","3,800","3,870","3,900","3,800","60.73M","-1.30%"
"10/16/2025","3,850","3,790","3,890","3,760","55.98M","2.12%"
"10/15/2025","3,770","3,810","3,840","3,720","84.58M","-0.79%"
"10/14/2025","3,800","3,910","3,940","3,800","69.45M","-2.56%"
"10/13/2025","3,900","3,920","3,940","3,870","38.35M","-1.76%"
"10/10/2025","3,970","4,090","4,090","3,950","48.78M","-3.17%"
"10/09/2025","4,100","3,910","4,150","3,860","106.11M","4.06%"
"10/08/2025","3,940","4,000","4,010","3,930","28.81M","-1.25%"
"10/07/2025","3,990","4,030","4,040","3,970","41.25M","-0.25%"
"10/06/2025","4,000","4,040","4,090","4,000","35.06M","-0.99%"
"10/03/2025","4,040","4,060","4,080","4,010","26.76M","0.00%"
"10/02/2025","4,040","4,050","4,100","4,040","34.73M","-0.25%"
"10/01/2025","4,050","4,050","4,120","4,050","37.81M","-1.22%"
"09/30/2025","4,100","4,170","4,170","4,100","60.16M","-1.68%"
"09/29/2025","4,170","4,160","4,170","4,110","41.04M","-0.24%"
"09/26/2025","4,180","4,150","4,180","4,110","39.38M","-0.24%"
"09/25/2025","4,190","4,180","4,190","4,140","35.63M","0.00%"
"09/24/2025","4,190","4,220","4,230","4,170","28.65M","-0.24%"
"09/23/2025","4,200","4,210","4,240","4,170","39.15M","-0.24%"
"09/22/2025","4,210","4,270","4,280","4,170","63.52M","-1.41%"
"09/19/2025","4,270","4,250","4,290","4,210","100.58M","-1.61%"
"09/18/2025","4,340","4,480","4,490","4,250","90.93M","-2.47%"
"09/17/2025","4,450","4,390","4,450","4,330","54.55M","1.83%"
"09/16/2025","4,370","4,440","4,450","4,320","52.08M","-0.91%"
"09/15/2025","4,410","4,550","4,600","4,410","74.52M","-2.43%"
"09/12/2025","4,520","4,430","4,530","4,330","109.80M","2.26%"
"09/11/2025","4,420","4,210","4,430","4,210","130.16M","7.80%"
"09/10/2025","4,100","4,100","4,140","4,080","64.54M","0.49%"
"09/09/2025","4,080","4,160","4,200","4,020","102.88M","-2.39%"
"09/08/2025","4,180","4,430","4,440","4,050","55.69M","-4.35%"
"09/04/2025","4,370","4,410","4,410","4,340","17.35M","-0.91%"
"09/03/2025","4,410","4,320","4,410","4,320","29.75M","2.32%"
"09/02/2025","4,310","4,340","4,430","4,290","28.51M","-0.23%"
"09/01/2025","4,320","4,170","4,400","4,150","60.51M","-1.37%"
"08/29/2025","4,380","4,440","4,460","4,350","60.71M","-1.79%"
"08/28/2025","4,460","4,480","4,500","4,450","37.27M","0.22%"
"08/27/2025","4,450","4,500","4,500","4,400","45.97M","-1.98%"
"08/26/2025","4,540","4,430","4,540","4,370","85.60M","2.02%"
"08/25/2025","4,450","4,460","4,520","4,440","53.43M","1.37%"
"08/22/2025","4,390","4,500","4,500","4,380","32.63M","-2.23%"
"08/21/2025","4,490","4,420","4,490","4,400","60.90M","1.35%"
"08/20/2025","4,430","4,290","4,450","4,290","52.90M","2.31%"
"08/19/2025","4,330","4,360","4,360","4,280","34.41M","-0.92%"
"08/15/2025","4,370","4,370","4,450","4,370","62.30M","-0.46%"
"08/14/2025","4,390","4,400","4,400","4,360","43.16M","0.46%"
"08/13/2025","4,370","4,390","4,420","4,310","54.04M","0.23%"
"08/12/2025","4,360","4,220","4,420","4,210","120.91M","3.81%"
"08/11/2025","4,200","4,090","4,220","4,080","61.70M","3.19%"
"08/08/2025","4,070","4,090","4,100","4,070","43.53M","-1.21%"
"08/07/2025","4,120","4,120","4,140","4,100","21.21M","0.49%"
"08/06/2025","4,100","4,220","4,230","4,100","27.98M","-2.84%"
"08/05/2025","4,220","4,040","4,230","4,040","93.77M","5.24%"
"08/04/2025","4,010","4,000","4,030","3,990","30.44M","0.00%"
"08/01/2025","4,010","4,050","4,070","4,010","32.30M","0.00%"
"07/31/2025","4,010","4,100","4,110","4,010","50.38M","-2.67%"
"07/30/2025","4,120","4,150","4,160","4,090","33.92M","-0.72%"
"07/29/2025","4,150","4,200","4,200","4,120","27.29M","-1.43%"
"07/28/2025","4,210","4,110","4,220","4,090","45.45M","2.93%"
"07/25/2025","4,090","4,160","4,180","4,070","48.60M","-3.08%"
"07/24/2025","4,220","4,100","4,250","4,080","57.28M","2.93%"
"07/23/2025","4,100","4,080","4,100","4,040","23.32M","1.23%"
"07/22/2025","4,050","4,090","4,090","4,040","32.61M","-0.49%"
"07/21/2025","4,070","4,140","4,140","4,070","35.00M","-1.21%"
"07/18/2025","4,120","4,120","4,150","4,100","35.07M","0.24%"
"07/17/2025","4,110","4,140","4,140","4,090","25.82M","-0.48%"
"07/16/2025","4,130","4,130","4,150","4,080","66.35M","1.98%"
"07/15/2025","4,050","4,040","4,070","4,010","30.50M","0.25%"
"07/14/2025","4,040","4,190","4,190","4,000","68.38M","-3.35%"
"07/11/2025","4,180","4,130","4,220","4,120","48.94M","1.70%"
"07/10/2025","4,110","3,980","4,140","3,980","44.06M","2.75%"
"07/09/2025","4,000","3,960","4,000","3,950","27.90M","0.76%"
"07/08/2025","3,970","3,980","4,020","3,950","27.87M","-0.75%"
"07/07/2025","4,000","4,000","4,010","3,930","28.01M","0.00%"
"07/04/2025","4,000","3,970","4,010","3,950","30.40M","0.76%"
"07/03/2025","3,970","4,010","4,060","3,970","49.95M","-1.24%"
"07/02/2025","4,020","4,010","4,040","3,970","31.19M","0.25%"
"07/01/2025","4,010","4,120","4,130","4,000","55.71M","-2.67%"
"06/30/2025","4,120","4,130","4,130","4,050","53.73M","0.00%"
"06/26/2025","4,120","4,110","4,120","4,050","31.91M","0.24%"
"06/25/2025","4,110","4,200","4,200","4,060","33.88M","-0.72%"
"06/24/2025","4,140","4,160","4,210","4,140","51.93M","1.97%"
"06/23/2025","4,060","4,060","4,100","3,970","53.49M","-1.22%"
"06/20/2025","4,110","4,120","4,140","4,050","178.50M","-0.48%"
"06/19/2025","4,130","4,300","4,300","4,100","87.78M","-3.95%"
"06/18/2025","4,300","4,350","4,360","4,250","40.71M","-1.38%"
"06/17/2025","4,360","4,400","4,420","4,350","44.88M","-0.91%"
"06/16/2025","4,400","4,490","4,490","4,360","90.22M","-3.08%"
"06/13/2025","4,540","4,480","4,540","4,450","30.55M","0.00%"
"06/12/2025","4,540","4,530","4,540","4,480","29.57M","0.00%"
"06/11/2025","4,540","4,530","4,540","4,480","35.01M","0.44%"
"06/10/2025","4,520","4,470","4,520","4,450","45.82M","2.26%"
"06/05/2025","4,420","4,310","4,420","4,310","36.14M","2.79%"
"06/04/2025","4,300","4,420","4,420","4,300","35.50M","-1.60%"
"06/03/2025","4,370","4,350","4,380","4,260","42.95M","0.00%"
"06/02/2025","4,370","4,480","4,480","4,300","68.99M","-2.67%"
"05/28/2025","4,490","4,520","4,540","4,470","63.75M","-0.88%"
"05/27/2025","4,530","4,500","4,530","4,460","40.87M","0.67%"
"05/26/2025","4,500","4,510","4,520","4,420","36.71M","-0.22%"
"05/23/2025","4,510","4,520","4,540","4,480","32.71M","0.89%"
"05/22/2025","4,470","4,520","4,540","4,470","42.31M","-1.11%"
"05/21/2025","4,520","4,480","4,580","4,470","79.97M","1.57%"
"05/20/2025","4,450","4,460","4,570","4,420","81.05M","-0.22%"
"05/19/2025","4,460","4,480","4,520","4,430","60.12M","-0.89%"
"05/16/2025","4,500","4,530","4,530","4,360","88.96M","0.00%"
"05/15/2025","4,500","4,390","4,530","4,390","120.60M","2.97%"
"05/14/2025","4,370","4,180","4,370","4,160","179.47M","6.59%"
"05/09/2025","4,100","4,120","4,140","4,060","37.79M","-0.49%"
"05/08/2025","4,120","4,160","4,220","4,080","78.00M","-0.96%"
"05/07/2025","4,160","4,190","4,200","4,140","57.69M","-0.48%"
"05/06/2025","4,180","4,220","4,230","4,170","66.44M","-0.71%"
"05/05/2025","4,210","4,210","4,280","4,180","60.39M","0.24%"
"05/02/2025","4,200","4,220","4,230","4,160","81.97M","0.48%"
"04/30/2025","4,180","4,160","4,180","4,080","85.51M","0.97%"
"04/29/2025","4,140","4,210","4,220","4,120","61.82M","-1.19%"
"04/28/2025","4,190","4,210","4,250","4,170","68.48M","-0.24%"
"04/25/2025","4,200","4,200","4,210","4,140","102.07M","0.72%"
"04/24/2025","4,170","4,200","4,250","4,120","145.43M","0.48%"
"04/23/2025","4,150","4,080","4,170","4,030","128.95M","3.49%"
"04/22/2025","4,010","3,990","4,050","3,960","84.00M","0.50%"
"04/21/2025","3,990","4,040","4,050","3,950","67.07M","-1.24%"
"04/17/2025","4,040","4,110","4,150","4,040","68.39M","-1.46%"
"04/16/2025","4,100","4,280","4,290","4,090","109.75M","-4.21%"
"04/15/2025","4,280","4,280","4,350","4,270","156.49M","-5.93%"
"04/14/2025","4,550","4,450","4,550","4,440","162.13M","3.64%"
"04/11/2025","4,390","4,240","4,400","4,200","90.24M","3.05%"
"04/10/2025","4,260","4,380","4,400","4,220","131.18M","5.45%"
"04/09/2025","4,040","4,030","4,140","3,970","81.41M","0.25%"
"04/08/2025","4,030","3,680","4,080","3,610","185.28M","-4.95%"
"03/27/2025","4,240","4,250","4,280","4,110","101.19M","-0.24%"
"03/26/2025","4,250","4,010","4,280","4,000","229.42M","8.97%"
"03/25/2025","3,900","3,770","3,930","3,740","157.67M","4.84%"
"03/24/2025","3,720","3,770","3,830","3,630","135.66M","-1.33%"
"03/21/2025","3,770","4,080","4,090","3,770","246.73M","-7.60%"
"03/20/2025","4,080","4,240","4,270","4,050","109.60M","-2.16%"
"03/19/2025","4,170","4,190","4,250","4,120","110.42M","-0.48%"
"03/18/2025","4,190","4,300","4,310","4,030","80.14M","-3.23%"
"03/17/2025","4,330","4,430","4,460","4,260","60.91M","-2.26%"
"03/14/2025","4,430","4,470","4,520","4,400","50.34M","-2.21%"
"03/13/2025","4,530","4,600","4,600","4,440","48.95M","0.00%"
"03/12/2025","4,530","4,490","4,550","4,480","44.66M","1.80%"
"03/11/2025","4,450","4,380","4,460","4,360","44.32M","0.00%"
"03/10/2025","4,450","4,540","4,540","4,410","43.04M","-1.98%"
"03/07/2025","4,540","4,590","4,590","4,460","61.63M","-1.09%"
"03/06/2025","4,590","4,550","4,700","4,540","104.23M","2.91%"
"03/05/2025","4,460","4,250","4,540","4,250","102.00M","5.69%"
"03/04/2025","4,220","4,240","4,290","4,170","71.34M","-0.94%"
"03/03/2025","4,260","4,180","4,310","4,120","156.62M","5.71%"
"02/28/2025","4,030","4,270","4,270","4,010","156.57M","-7.14%"
"02/27/2025","4,340","4,350","4,370","4,200","58.36M","-0.23%"
"02/26/2025","4,350","4,250","4,350","4,210","42.11M","2.84%"
"02/25/2025","4,230","4,230","4,280","4,110","45.78M","0.71%"
"02/24/2025","4,200","4,300","4,320","4,200","61.47M","-2.33%"
"02/21/2025","4,300","4,410","4,440","4,300","70.12M","-3.59%"
"02/20/2025","4,460","4,520","4,550","4,400","49.47M","-1.33%"
"02/19/2025","4,520","4,750","4,750","4,480","72.33M","-4.84%"
"02/18/2025","4,750","4,600","4,750","4,600","73.99M","3.94%"
"02/17/2025","4,570","4,370","4,590","4,350","52.49M","4.58%"
"02/14/2025","4,370","4,310","4,390","4,300","61.93M","2.82%"
"02/13/2025","4,250","4,280","4,300","4,210","38.17M","-1.16%"
"02/12/2025","4,300","4,130","4,300","4,100","57.78M","5.65%"
"02/11/2025","4,070","4,150","4,170","4,050","52.99M","-1.93%"
"02/10/2025","4,150","4,270","4,310","4,150","46.86M","-2.81%"
"02/07/2025","4,270","4,250","4,350","4,160","69.27M","-0.47%"
"02/06/2025","4,290","4,500","4,510","4,260","72.52M","-4.67%"
"02/05/2025","4,500","4,650","4,680","4,480","52.08M","-4.26%"
"02/04/2025","4,700","4,770","4,780","4,700","44.27M","-1.67%"
"02/03/2025","4,780","4,770","4,800","4,640","63.07M","0.21%"
"01/31/2025","4,770","4,660","4,880","4,660","78.96M","2.80%"
"01/30/2025","4,640","4,610","4,670","4,580","23.98M","0.65%"
"01/24/2025","4,610","4,660","4,700","4,610","42.14M","-0.86%"
"01/23/2025","4,650","4,790","4,820","4,650","86.70M","-2.92%"
"01/22/2025","4,790","4,790","4,810","4,760","55.90M","1.05%"
"01/21/2025","4,740","4,690","4,820","4,650","96.01M","2.60%"
"01/20/2025","4,620","4,520","4,660","4,490","67.69M","3.36%"
"01/17/2025","4,470","4,450","4,570","4,380","40.13M","-0.67%"
"01/16/2025","4,500","4,600","4,600","4,480","113.85M","2.04%"
"01/15/2025","4,410","4,150","4,430","4,150","82.04M","6.78%"
"01/14/2025","4,130","4,170","4,240","4,110","71.57M","-1.90%"
"01/13/2025","4,210","4,320","4,330","4,200","54.03M","-3.22%"
"01/10/2025","4,350","4,380","4,420","4,350","28.24M","-0.68%"
"01/09/2025","4,380","4,360","4,410","4,350","25.55M","0.23%"
"01/08/2025","4,370","4,350","4,430","4,350","39.48M","0.23%"
"01/07/2025","4,360","4,370","4,410","4,340","36.97M","-1.58%"
"01/06/2025","4,430","4,550","4,560","4,410","26.01M","-2.42%"
"01/03/2025","4,540","4,600","4,630","4,540","76.39M","-1.09%"
"01/02/2025","4,590","4,360","4,590","4,360","56.99M","5.52%"
"12/30/2024","4,350","4,340","4,380","4,270","43.90M","-0.23%"
"12/27/2024","4,360","4,380","4,430","4,360","22.84M","-0.46%"
"12/24/2024","4,380","4,380","4,400","4,340","21.46M","0.00%"
"12/23/2024","4,380","4,320","4,390","4,320","43.67M","2.82%"
"12/20/2024","4,260","4,330","4,360","4,260","83.87M","-1.16%"
"12/19/2024","4,310","4,360","4,370","4,300","71.25M","-2.71%"
"12/18/2024","4,430","4,470","4,530","4,410","56.47M","-0.89%"
"12/17/2024","4,470","4,620","4,640","4,430","119.87M","-3.66%"
"12/16/2024","4,640","4,610","4,720","4,600","83.74M","-1.90%"
"12/13/2024","4,730","4,800","4,830","4,720","72.85M","-3.07%"
"12/12/2024","4,880","5,025","5,025","4,880","45.91M","-3.84%"
"12/11/2024","5,075","5,050","5,175","5,050","39.77M","-0.49%"
"12/10/2024","5,100","4,990","5,100","4,930","39.16M","2.00%"
"12/09/2024","5,000","4,890","5,050","4,880","43.94M","2.88%"
"12/06/2024","4,860","4,820","4,880","4,780","25.74M","0.83%"
"12/05/2024","4,820","4,950","4,950","4,810","33.54M","-2.63%"
"12/04/2024","4,950","4,800","4,980","4,790","46.94M","3.56%"
"12/03/2024","4,780","4,740","4,840","4,730","60.10M","1.49%"
"12/02/2024","4,710","4,980","5,000","4,710","49.32M","-5.42%"
"11/29/2024","4,980","5,025","5,050","4,940","48.89M","-0.90%"
"11/28/2024","5,025","5,025","5,075","4,950","28.34M","1.52%"
"11/26/2024","4,950","5,025","5,050","4,950","37.32M","-0.80%"
"11/25/2024","4,990","4,850","5,075","4,840","98.41M","3.10%"
"11/22/2024","4,840","4,750","4,860","4,740","50.26M","2.54%"
"11/21/2024","4,720","4,820","4,850","4,710","45.73M","-2.68%"
"11/20/2024","4,850","4,870","4,900","4,800","24.69M","0.00%"
"11/19/2024","4,850","4,860","4,890","4,800","28.27M","-0.41%"
"11/18/2024","4,870","4,930","4,930","4,830","22.62M","-0.81%"
"11/15/2024","4,910","4,920","4,940","4,870","32.79M","-0.81%"
"11/14/2024","4,950","4,960","4,970","4,910","33.43M","-0.20%"
"11/13/2024","4,960","4,930","5,025","4,910","64.55M","0.61%"
